
The,DET
routes,NOUN
of,ADP
SMRT,PROPN
bus,NOUN
services,NOUN
75,NUM
and,CONJ
167,NUM
will,VERB
be,VERB
amended,VERB
from,ADP
Sunday,PROPN
(,PUNCT
May,PROPN
1,NUM
),PUNCT
",",PUNCT
as,ADP
Anderson,PROPN
Bridge,PROPN
in,ADP
the,DET
direction,NOUN
of,ADP
St,PROPN
Andrew,PROPN
's,PART
Road,PROPN
will,VERB
be,VERB
closed,VERB
off,PART
to,ADP
buses,NOUN
and,CONJ
heavy,ADJ
vehicles,NOUN
.,PUNCT

The,DET
routes,NOUN
of,ADP
both,DET
services,NOUN
will,VERB
be,VERB
amended,VERB
to,PART
ply,VERB
Esplanade,PROPN
Drive,PROPN
instead,ADV
.,PUNCT

Strong,ADJ
signals,NOUN
have,VERB
emerged,VERB
that,ADP
the,DET
major,ADJ
rail,NOUN
reform,NOUN
about,ADP
SMRT,PROPN
Corp,PROPN
is,VERB
imminent,ADJ
.,PUNCT

If,ADP
market,NOUN
wags,NOUN
are,VERB
to,PART
be,VERB
believed,VERB
",",PUNCT
the,DET
New,PROPN
Rail,PROPN
Financing,PROPN
Framework,PROPN
which,ADJ
will,VERB
relieve,VERB
the,DET
transport,NOUN
operator,NOUN
of,ADP
excruciating,ADJ
capital,NOUN
expenditure,NOUN
(,PUNCT
capex,NOUN
),PUNCT
burden,NOUN
and,CONJ
free,VERB
up,PART
its,ADJ
cash,NOUN
flow,NOUN
could,VERB
happen,VERB
this,DET
financial,ADJ
year,NOUN
",",PUNCT
contrary,ADJ
to,ADP
analysts,NOUN
',PART
general,ADJ
expectation,NOUN
for,ADP
reforms,NOUN
in,ADP
2017,NUM
or,CONJ
beyond,ADV
.,PUNCT

In,ADP
addition,NOUN
",",PUNCT
SMRT,PROPN
's,PART
stellar,ADJ
showing,NOUN
despite,ADP
the,DET
street,NOUN
's,PART
negative,ADJ
take,NOUN
on,ADP
the,DET
stock,NOUN
denotes,VERB
a,DET
sooner,ADV
-,PUNCT
than,ADP
-,PUNCT
later,ADJ
expectation,NOUN
.,PUNCT

Under,ADP
the,DET
new,ADJ
framework,NOUN
",",PUNCT
Temasek,PROPN
-,PUNCT
owned,VERB
SMRT,PROPN
is,VERB
expected,VERB
to,PART
emerge,VERB
as,ADP
an,DET
asset,NOUN
-,PUNCT
light,NOUN
company,NOUN
and,CONJ
a,DET
pure,ADJ
operator,NOUN
while,ADP
the,DET
government,NOUN
would,VERB
own,VERB
all,DET
operating,VERB
assets,NOUN
and,CONJ
the,DET
associated,ADJ
risks,NOUN
for,ADP
major,ADJ
capital,NOUN
asset,NOUN
investments,NOUN
.,PUNCT

These,DET
assets,NOUN
will,VERB
then,ADV
be,VERB
leased,VERB
to,ADP
SMRT.,PROPN

Finally,ADV
",",PUNCT
analysts,NOUN
expect,VERB
an,DET
announcement,NOUN
on,ADP
rail,NOUN
reform,NOUN
to,PART
be,VERB
a,DET
clear,ADJ
catalyst,NOUN
for,ADP
SMRT,PROPN
shares,NOUN
",",PUNCT
which,ADJ
jumped,VERB
60,NUM
per,NOUN
cent,NOUN
last,ADJ
year,NOUN
following,VERB
news,NOUN
of,ADP
the,DET
bus,NOUN
reform,NOUN
.,PUNCT

From,ADP
June,PROPN
14,NUM
",",PUNCT
SMRT,PROPN
will,VERB
be,VERB
adding,VERB
seven,NUM
new,ADJ
Wheelchair,PROPN
Accessible,PROPN
Bus,PROPN
(,PUNCT
WAB,PROPN
),PUNCT
Services,NOUN
",",PUNCT
thereby,ADV
increasing,VERB
its,ADJ
WAB,PROPN
service,NOUN
routes,NOUN
to,ADP
52,NUM
in,ADP
total,NOUN
.,PUNCT

The,DET
additional,ADJ
bus,NOUN
services,NOUN
added,VERB
to,ADP
the,DET
WAB,PROPN
Services,PROPN
are,VERB
106,NUM
",",PUNCT
