DET,The,O
NOUN,routes,O
ADP,of,O
PROPN,SMRT,ORG
NOUN,bus,O
NOUN,services,O
NUM,75,BUS
CONJ,and,O
NUM,167,BUS
VERB,will,O
VERB,be,O
VERB,amended,O
ADP,from,O
PROPN,Sunday,DATE
PUNCT,(,O
PROPN,May,DATE
NUM,1,DATE
PUNCT,),O
PUNCT,',',O
ADP,as,O
PROPN,Anderson,LOCATION
PROPN,Bridge,LOCATION
ADP,in,O
DET,the,O
NOUN,direction,O
ADP,of,O
PROPN,St,ROAD
PROPN,Andrew,ROAD
PART,'''s',ROAD
PROPN,Road,ROAD
VERB,will,O
VERB,be,O
VERB,closed,O
PART,off,O
ADP,to,O
NOUN,buses,O
CONJ,and,O
ADJ,heavy,O
NOUN,vehicles,O
PUNCT,0,O
,,
DET,The,O
NOUN,routes,O
ADP,of,O
DET,both,O
NOUN,services,O
VERB,will,O
VERB,be,O
VERB,amended,O
PART,to,O
VERB,ply,O
PROPN,Esplanade,ROAD
PROPN,Drive,ROAD
ADV,instead,O
PUNCT,0,O
,,
ADJ,Strong,O
NOUN,signals,O
VERB,have,O
VERB,emerged,O
ADP,that,O
DET,the,O
ADJ,major,O
NOUN,rail,O
NOUN,reform,O
ADP,about,O
PROPN,SMRT,ORG
PROPN,Corp,ORG
VERB,is,O
ADJ,imminent,O
PUNCT,0,O
,,
ADP,If,O
NOUN,market,O
NOUN,wags,O
VERB,are,O
PART,to,O
VERB,be,O
VERB,believed,O
PUNCT,',',O
DET,the,O
PROPN,New,O
PROPN,Rail,O
PROPN,Financing,O
PROPN,Framework,O
ADJ,which,O
VERB,will,O
VERB,relieve,O
DET,the,O
NOUN,transport,O
NOUN,operator,O
ADP,of,O
ADJ,excruciating,O
NOUN,capital,O
NOUN,expenditure,O
PUNCT,(,O
NOUN,capex,O
PUNCT,),O
NOUN,burden,O
CONJ,and,O
VERB,free,O
PART,up,O
ADJ,its,O
NOUN,cash,O
NOUN,flow,O
VERB,could,O
VERB,happen,O
DET,this,O
ADJ,financial,
NOUN,year,
PUNCT,',',O
ADJ,contrary,O
ADP,to,O
NOUN,analysts,O
PART,'''',O
ADJ,general,O
NOUN,expectation,O
ADP,for,O
NOUN,reforms,O
ADP,in,O
NUM,2017,DATE
CONJ,or,O
ADV,beyond,O
PUNCT,0,O
,,
ADP,In,O
NOUN,addition,O
PUNCT,',',O
PROPN,SMRT,ORG
PART,'''s',O
ADJ,stellar,O
NOUN,showing,O
ADP,despite,O
DET,the,O
NOUN,street,O
PART,'''s',O
ADJ,negative,O
NOUN,take,O
ADP,on,O
DET,the,O
NOUN,stock,O
VERB,denotes,O
DET,a,O
ADV,sooner,O
PUNCT,-,O
ADP,than,O
PUNCT,-,O
ADJ,later,O
NOUN,expectation,O
PUNCT,0,O
,,
ADP,Under,O
DET,the,O
ADJ,new,O
NOUN,framework,O
PUNCT,',',O
PROPN,Temasek,ORG
PUNCT,-,O
VERB,owned,O
PROPN,SMRT,ORG
VERB,is,O
VERB,expected,O
PART,to,O
VERB,emerge,O
ADP,as,O
DET,an,O
NOUN,asset,O
PUNCT,-,O
NOUN,light,O
NOUN,company,O
CONJ,and,O
DET,a,O
ADJ,pure,O
NOUN,operator,O
ADP,while,O
DET,the,O
NOUN,government,O
VERB,would,O
VERB,own,O
DET,all,O
VERB,operating,O
NOUN,assets,O
CONJ,and,O
DET,the,O
ADJ,associated,O
NOUN,risks,O
ADP,for,O
ADJ,major,O
NOUN,capital,O
NOUN,asset,O
NOUN,investments,O
PUNCT,0,O
,,
DET,These,O
NOUN,assets,O
VERB,will,O
ADV,then,O
VERB,be,O
VERB,leased,O
ADP,to,O
PROPN,SMRT.,ORG
,,
ADV,Finally,O
PUNCT,',',O
NOUN,analysts,O
VERB,expect,O
DET,an,O
NOUN,announcement,O
ADP,on,O
NOUN,rail,O
NOUN,reform,O
PART,to,O
VERB,be,O
DET,a,O
ADJ,clear,O
NOUN,catalyst,O
ADP,for,O
PROPN,SMRT,ORG
NOUN,shares,O
PUNCT,',',O
ADJ,which,O
VERB,jumped,O
NUM,60,PERCENT
NOUN,per,PERCENT
NOUN,cent,PERCENT
ADJ,last,O
NOUN,year,O
VERB,following,O
NOUN,news,O
ADP,of,O
DET,the,O
NOUN,bus,O
NOUN,reform,O
PUNCT,0,O
,,
PROPN,Forum,O
NOUN,writer,O
PROPN,Mr,O
PROPN,Han,PERSON
PROPN,Jiajing,PERSON
PUNCT,(,O
PUNCT,",O
PROPN,Shorten,O
NOUN,interval,O
NOUN,times,O
ADP,of,O
ADJ,peak,O
PUNCT,-,O
NOUN,hour,O
NOUN,trains,O
PUNCT,",O
PUNCT,;,O
PROPN,Monday,DATE
PUNCT,',',O
PROPN,Mar,DATE
NUM,2,DATE
PUNCT,),O
PUNCT,0,O
,,
PRON,He,O
VERB,argued,O
ADP,that,O
ADP,before,O
DET,the,O
NOUN,fare,O
NOUN,increases,O
VERB,were,O
VERB,given,O
NOUN,approval,O
PART,to,O
VERB,be,O
VERB,raised,O
PUNCT,',',O
NUM,one,O
VERB,would,O
VERB,have,O
VERB,expected,O
NOUN,train,O
NOUN,services,O
PART,to,O
VERB,have,O
VERB,improved,O
PUNCT,0,O
,,
PRON,He,O
VERB,opined,O
ADP,that,O
NOUN,train,O
NOUN,services,O
VERB,seem,O
PART,to,O
VERB,be,O
VERB,deteriorating,O
ADV,instead,O
CONJ,and,O
ADV,there,O
VERB,seems,O
PART,to,O
VERB,be,O
DET,no,O
NOUN,attempt,O
PART,to,O
VERB,improve,O
ADV,even,O
DET,the,O
NOUN,basics,O
PUNCT,0,O
,,
PRON,He,O
VERB,noticed,O
ADP,that,O
NOUN,cabins,O
VERB,are,O
VERB,packed,O
ADP,to,O
DET,the,O
NOUN,brim,O
ADP,because,O
NOUN,trains,O
VERB,arrive,O
NUM,five,DURATION
PART,to,DURATION
NUM,six,DURATION
NOUN,minutes,DURATION
ADV,apart,O
PUNCT,',',O
CONJ,and,O
ADV,even,O
DET,the,O
NOUN,platforms,O
VERB,get,O
ADJ,overcrowded,O
PUNCT,',',O
ADP,as,O
DET,a,O
NOUN,result,O
PUNCT,',',O
VERB,travelling,O
ADP,on,O
DET,the,O
ADJ,older,O
NOUN,trains,O
ADP,on,O
DET,the,O
PROPN,East,LINE
PUNCT,-,LINE
PROPN,West,LINE
PROPN,Line,LINE
VERB,is,O
ADV,very,O
ADJ,uncomfortable,O
PUNCT,',',O
ADV,especially,O
ADP,with,O
DET,the,O
NOUN,air,O
PUNCT,-,O
NOUN,conditioning,O
VERB,working,O
ADV,only,O
ADP,in,O
DET,some,O
NOUN,cabins,O
PUNCT,0,O
,,
PRON,He,O
VERB,opined,O
ADP,that,O
DET,the,O
ADJ,overcrowded,O
NOUN,conditions,O
VERB,are,O
DET,a,O
NOUN,safety,O
NOUN,concern,O
ADV,as,O
ADV,well,O
PUNCT,0,O
,,
ADP,After,O
DET,the,O
ADJ,free,O
NOUN,travel,O
ADP,for,O
NOUN,peak,O
NOUN,hours,O
VERB,was,O
VERB,introduced,O
PUNCT,',',O
PROPN,SMRT,ORG
VERB,assured,O
NOUN,commuters,O
ADP,that,O
NOUN,trains,O
VERB,would,O
VERB,arrive,O
NUM,two,DURATION
PART,to,DURATION
NUM,three,DURATION
NOUN,minutes,DURATION
ADV,apart,O
PUNCT,',',O
PRON,he,O
VERB,argued,O
ADP,that,O
DET,the,O
NOUN,scenario,O
VERB,did,O
ADV,not,O
VERB,materialise,O
PUNCT,0,O
,,
PROPN,Mr,O
PROPN,Han,PERSON
VERB,contended,O
ADP,that,O
ADP,although,O
DET,the,O
PROPN,Land,ORG
PROPN,Transport,ORG
PROPN,Authority,ORG
VERB,has,O
VERB,promised,O
NOUN,improvements,O
PUNCT,',',O
DET,this,O
VERB,would,O
VERB,take,O
DET,another,O
NUM,two,O
ADJ,more,O
NOUN,years,O
PART,to,O
VERB,happen,O
PUNCT,0,O
,,
ADP,In,O
DET,the,O
NOUN,meantime,O
PUNCT,',',O
DET,the,O
ADJ,least,O
PROPN,SMRT,ORG
VERB,could,O
VERB,do,O
VERB,is,O
PART,to,O
VERB,ensure,O
DET,that,O
NOUN,train,O
NOUN,arrival,O
NOUN,times,O
VERB,are,O
ADJ,improved,O
CONJ,and,O
NOUN,air,O
PUNCT,-,O
NOUN,conditioning,O
ADP,in,O
DET,the,O
ADJ,older,O
NOUN,trains,O
VERB,are,O
VERB,maintained,O
ADP,at,O
DET,a,O
ADJ,comfortable,O
NOUN,level,O
PUNCT,0,O
,,
PRON,He,O
VERB,concluded,O
ADP,that,O
NOUN,train,O
NOUN,fare,O
NOUN,increases,O
VERB,would,O
VERB,be,O
ADJ,justifiable,O
ADV,only,O
ADP,if,O
ADV,there,O
VERB,were,O
ADJ,such,O
NOUN,improvements,O
PUNCT,0,O
,,
ADP,From,O
PROPN,June,DATE
NUM,14,DATE
PUNCT,',',O
PROPN,SMRT,ORG
VERB,will,O
VERB,be,O
VERB,adding,O
NUM,seven,CARDINAL
ADJ,new,O
PROPN,Wheelchair,SERVICE
PROPN,Accessible,SERVICE
PROPN,Bus,SERVICE
PUNCT,(,O
PROPN,WAB,SERVICE
PUNCT,),O
NOUN,Services,O
PUNCT,',',O
ADV,thereby,O
VERB,increasing,O
ADJ,its,O
PROPN,WAB,O
NOUN,service,O
NOUN,routes,O
ADP,to,O
NUM,52,CARDINAL
ADP,in,O
NOUN,total,O
PUNCT,0,O
,,
DET,The,O
ADJ,additional,O
NOUN,bus,O
NOUN,services,O
VERB,added,O
ADP,to,O
DET,the,O
PROPN,WAB,SERVICE
PROPN,Services,
VERB,are,O
NUM,106,BUS
PUNCT,',',O
NUM,190,BUS
PUNCT,',',O
NUM,301,BUS
PUNCT,',',O
NUM,804,BUS
PUNCT,',',O
NUM,911,BUS
PUNCT,',',O
NUM,963,BUS
CONJ,and,O
NUM,983,BUS
PUNCT,0,O
,,
DET,The,O
ADJ,drastic,O
NOUN,drop,O
ADP,in,O
NOUN,oil,O
NOUN,prices,O
ADJ,last,O
NOUN,year,O
VERB,has,O
VERB,resulted,O
ADP,in,O
DET,a,O
NOUN,fall,O
ADP,in,O
NOUN,energy,O
NOUN,index,O
ADP,by,O
NUM,15.3,PERCENT
NOUN,%,PERCENT
CONJ,and,O
VERB,led,O
ADP,to,O
DET,the,O
ADJ,downward,O
NOUN,revision,O
ADP,of,O
ADJ,local,O
NOUN,transport,O
NOUN,fares,O
PUNCT,0,O
,,
VERB,Starting,O
NUM,27,DATE
PROPN,Dec,DATE
DET,this,O
NOUN,year,O
PUNCT,',',O
NUM,2,CARDINAL
NUM,million,CARDINAL
NOUN,passengers,O
VERB,will,O
VERB,pay,O
ADJ,less,O
ADP,as,O
NOUN,bus,O
CONJ,and,O
NOUN,train,O
NOUN,fares,O
VERB,will,O
VERB,revise,O
NOUN,downwards,O
ADP,by,O
ADP,up,O
PART,to,O
NUM,1.9,PERCENT
NOUN,%,PERCENT
ADP,with,O
DET,a,O
NOUN,saving,O
ADP,of,O
NUM,19,MONEY
NOUN,cents,MONEY
ADP,per,O
NOUN,S$10,MONEY
VERB,spent,O
PUNCT,0,O
,,
DET,The,O
NOUN,reduction,O
VERB,is,O
DET,the,O
ADJ,maximum,O
NUM,1.9,PERCENT
NOUN,per,PERCENT
NOUN,cent,PERCENT
VERB,allowed,O
ADP,in,O
DET,a,O
ADJ,fare,O
NOUN,formula,O
ADJ,that,O
VERB,weighs,O
NOUN,inflation,O
PUNCT,',',O
NOUN,wages,O
CONJ,and,O
NOUN,fuel,O
CONJ,or,O
NOUN,energy,O
NOUN,prices,O
PUNCT,0,O
,,
PRON,It,O
VERB,will,O
VERB,impact,O
PROPN,SBS,ORG
PROPN,Transit,ORG
PART,'''s',O
NOUN,revenue,O
ADP,by,O
SYM,$,MONEY
NUM,15.7,MONEY
NUM,million,MONEY
PUNCT,',',O
CONJ,and,O
PROPN,SMRT,ORG
PART,'''s',O
ADP,by,O
SYM,$,MONEY
NUM,20.4,MONEY
NUM,million,MONEY
PUNCT,0,O
,,
NOUN,Reader,O
PUNCT,',',O
PROPN,Liu,PERSON
PROPN,Jiakeng,PERSON
PUNCT,',',O
VERB,shared,O
DET,the,O
NOUN,compliments,O
ADP,from,O
DET,a,O
VERB,visiting,O
ADJ,Malaysian,NORP
NOUN,friend,O
ADP,towards,O
ADJ,local,O
ADJ,efficient,O
ADJ,public,O
NOUN,transport,O
NOUN,networks,O
PUNCT,0,O
,,
ADV,However,O
PUNCT,',',O
DET,the,O
NOUN,reader,O
VERB,claimed,O
ADP,that,O
PRON,it,O
VERB,was,O
ADJ,evident,O
ADP,in,O
DET,the,O
ADJ,last,
ADJ,few,
NOUN,breakdowns,
ADJ,that,O
PROPN,SMRT,ORG
CONJ,and,O
PROPN,LTA,ORG
VERB,were,O
ADV,not,O
ADV,well,O
ADJ,prepared,O
ADP,towards,O
ADJ,new,O
NOUN,breakdowns,O
PUNCT,0,O
,,
ADV,First,O
PUNCT,',',O
PRON,he,O
VERB,cited,O
DET,the,O
VERB,missing,O
NOUN,notification,O
ADP,on,O
DET,the,O
NOUN,service,O
NOUN,disruptions,O
ADP,from,O
DET,the,O
PROPN,LTA,ORG
NOUN,app,O
PUNCT,0,O
,,
ADV,Second,O
PUNCT,',',O
PRON,he,O
VERB,claimed,O
ADP,that,O
DET,the,O
NOUN,shuttle,O
NOUN,buses,O
ADV,only,O
VERB,came,O
ADP,with,O
ADJ,limited,O
NOUN,destinations,O
CONJ,and,O
ADV,not,O
ADJ,able,O
PART,to,O
VERB,accommodate,O
DET,all,O
NOUN,passengers,O
PUNCT,0,O
,,
ADV,Third,O
PUNCT,',',O
PRON,he,O
VERB,highlighted,O
DET,the,O
ADJ,inadequate,O
NOUN,crowd,O
NOUN,control,O
ADP,at,O
NOUN,bus,O
NOUN,stops,O
PART,to,O
VERB,direct,O
DET,the,O
NOUN,passengers,O
CONJ,and,O
PRON,it,O
VERB,was,O
DET,a,O
NOUN,mess,O
PUNCT,0,O
,,
ADP,In,O
DET,all,O
PUNCT,',',O
PRON,he,O
VERB,urged,O
DET,the,O
NOUN,authorities,O
PART,to,O
VERB,be,O
ADV,better,O
VERB,prepared,O
ADP,in,O
ADJ,their,O
NOUN,contingency,O
NOUN,plans,O
ADP,while,O
VERB,asking,O
DET,the,O
NOUN,public,O
ADP,for,O
ADJ,more,O
NOUN,understanding,O
CONJ,and,O
NOUN,patience,O
PUNCT,0,O
,,
ADP,After,O
DET,an,O
ADJ,earlier,O
VERB,failed,O
NOUN,attempt,O
PART,to,O
VERB,inject,O
ADJ,more,O
NOUN,competition,O
ADP,by,O
VERB,opening,O
PART,up,O
