Category,Topic,Tonality,Summary
Forum,Safety/Accident,,"Referring to the letters, ""Circle Line train incident: SMRT explains cause and steps taken"" and ""Commuters distressed and kept in the dark"", forum writer “Larry Chong Tuck Lai” asked several questions regarding the safety of passengers when there is smoke inside the train. 

These are the questions, assuming a fully packed peak-hour train:
• How much smoke is needed before the smoke detector is activated and the ventilation system shut?
• What happens after the ventilation system is shut?
• How long will the air supply last in a crowded train with no air-conditioning or ventilation and with the presence of smoke in the cabin?
• While the incident was resolved within five minutes, what happens if we have a case where staff are unable to reach the site of the breakdown for hours, and the system is not restored?
• What options are available to passengers trapped in the train?
• Are there manual systems to allow passengers to free themselves, or at least open windows to allow air to flow in?

CIC/CMC is working with SMRT Trains to prepare a response.
"
SMRT Trains,Safety/Accident,Negative,"Reporter “Huang Jian Ye” shares his experience of breaking the story on the recent November graffiti case at Bishan Depot.

After receiving a tip off from his team, he worked quickly to contact the Singapore Police Force and interviewed SMRT employees to obtain more information, while keeping his colleagues at the newsroom updated. Eventually, he confirmed the story with the SPF and pushed out the news.

The rest of the report repeated the key points of the November graffiti case
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
SMRT Buses,Customer Service ,Positive ,"Four new bus routes in Choa Chu Kang, Punggol and Queenstown will be introduced by March 2015, announced the Land Transport Authority (LTA) on Monday (Jan 5). Details of the new routes are currently being worked on, the LTA added. The new bus routes are part of the Bus Service Enhancement Programme (BSEP), which was first announced in 2012. In a joint news release with SMRT and SBS Transit, the LTA said that 550 Government-funded buses have been rolled out under the programme as of Dec 31, 2014.

SMRT Bus service 920 has been cited to now run at nine-to-ten minute intervals during morning peak period, compared with 14 to 16 minutes previously. SBS Transit and SMRT have also improved 12 bus services in this quarter by deploying higher-capacity buses or adding more bus trips along sectors that experience heavy ridership.

LTA said that PTOs will be required to deliver higher service standards. Under BSEP, 95 per cent of feeder services are required to operate at 10 minutes intervals during the morning and evening peak by 2014, this will be tightened to 100 per cent by eight-minute intervals by 2017.
"
